id,Sentiment,Tweet
1,Neutral,Mix rottweiler
2,Neutral,Ei herh sister
3,Neutral,offeibea Ich liebe dich
4,Neutral,wow so viel affection hatte ich lange nicht mehr
5,Neutral,lockdown socialdistance bicycle spandex life affection Dulwich
6,Neutral,schn ffffff wir aquarius wollen doch nur allein sein und so einmal die woche affection und liebe das
7,Neutral,ratphon and chickenfaa
8,Positive,Stellt sich nat rlich die Frage wie man dann die nennt who rage because of a lack of sex love attention or affec
9,Neutral,leakst dich jeden tag 3 mal weil du irl keine affection kriegst no front weil same
10,Neutral,leakst dich jeden tag 3 mal weil du irl keine affection kriegst no front weil same
11,Neutral,Das Lied Mr Affection ist n kack Ohrwurm ey DX
12,Neutral,CN meds alcohol Ich hab gerade eben erst gemerkt dass ich DESHALB vielleicht den Rotwein gestern nicht vertragen
13,Neutral,twitter Bier Amstel 0 0 Alcohol 33 Cl pack 8LETZTE ANGEBOTSTAGE Bier Amstel 0 0 Alcohol 33 Cl pack 8 KLICKEN Sie
14,Neutral,Rene77 Deutsch Schon alleine die Todes und Erkrankungsopfer wg Shutdown sind dramatisch werden h her sein
15,Negative,cw alcohol Leude Klosterfrau Melissengeist muss der Shit sein Man darf davon nur 25 ml pro Tag trinken weil das Teil 79 hat
16,Positive,garkein bock heute was zu unternehmen aber bei free alcohol kann ich nicht nein sagen
17,Positive,garkein bock heute was zu unternehmen aber bei free alcohol kann ich nicht nein sagen
18,Neutral,8 Song about drugs or Alcohol weil Alkohol ja keine Droge ist ja ja Welches Lied das ich h re ist denn bitte
19,Neutral,Na wer kein Bier und K der mag mein Preis Leistungstipp f r den entspannten Genuss Sch n k hl serviere
20,Neutral,jedes every Jedes Jahr verursacht Alkohol tausende Todesf lle Alcohol causes thousands of deaths every year
21,Neutral,Diese Arbeit beschreibt die kognitivenDefizite von Gewaltt tern mit und ohne hohem Alkoholkonsum Es stellt sic
22,Negative,CW alcohol lots of alcohol Es ist so absurd zu sehen wie ein Typ der kurz zuvor noch Bundeskanzler war sich so ff
23,Neutral,David Lynch
24,Neutral,Halbzeitmusik bei FCASCP Milk and Alcohol Pers nliches Wiederh ren nach 1981
25,Neutral,cn alcohol g nne mir vodka soda
26,Neutral,Alcohol Law Wacker Brewing in Lancaster also
27,Neutral,1 2 Die Mischung aus Gin und Tonic Water soll hnlich wie ein Antihistaminikum wirken Zumindest ha
28,Neutral,Meine tr nen sind satans alcohol
29,Neutral,Die Frauen identifizierten sichere und unsichere Phasen im Zyklus bef rchteten jedoch die Unvorhersehbarkeit betr
30,Neutral,diese Serie mit u a queeren amp schwulen Hauptfiguren wollte disneyplus nicht ins Programm nehmen weil a show that con
31,Neutral,diese Serie mit u a queeren amp schwulen Hauptfiguren wollte disneyplus nicht ins Programm nehmen weil a show that con
32,Neutral,diese Serie mit u a queeren amp schwulen Hauptfiguren wollte disneyplus nicht ins Programm nehmen weil a show t
33,Neutral,N chtern betrachtet w re ich gerne betrunken um die Dinge weiter zu betrachten aber say no to alcohol
34,Neutral,Prosecco Ros Will Arrive in 2021 wine alcohol bartending
35,Neutral,figaj K nnte was zu Alcohol Use Disorder und Cognitive Neuroscience anbieten
36,Neutral,Nachfolgend sind die Inhaltsstoffe des genannten Produktes Disodium Lauryl Sulfosuccinate Sodium C
37,Neutral,Augsburg Es ist ganz einfach wir als Regierung machen uns gro e Sorgen um die ffentlich
38,Neutral,Cn alcohol Ich willte f r Mama altglas wegbringen Sie Neeee das zu viel zu laufen Ich glaub ja eher das liegt dar
39,Neutral,Au erdem NAT RLICH BecauseSciene f r mehr Nerdstuff cn alcohol und wenn man drinks mag und vllt bissi F
40,Neutral,Shotaro rkgk
41,Neutral,Budweiser alcohol by Anheuser Busch
42,Neutral,cn alcohol Ich kenn das so man trinkt einen wenn man das schon mal gemacht hat
43,Neutral,cn alcohol alles was ich nach 5 jahren latein U unterricht noch kann ist in vino veritas
44,Neutral,de Gremmels The COVID Pandemic Could Lead to 75 000 Additional Deaths from Alcoho
45,Neutral,France Stocks Fran ais Bourse Aerospace AIR 5 1 Defense SAF 4 9 Construction DG 3 5 FinTech WLN 1 7
46,Neutral,ganz einfach vorbeugen keine alcohol lizenz fuer Muslime
47,Neutral,Jawohl jawohl jawohl ich liebe alcohol ich liebe mer und vodka ich liebe alcohol
48,Neutral,abyss Fallen Seraph
49,Neutral,Alcohol Cleaner Hand und Fl chendesinfektion Reiniger mit Desinfektionswirkung Anwendungsbereich 99 99 der Bak
50,Neutral,cn alcohol die bois von heut sind alle so verdammt jung und ich h r nicht auf alt zu werden
51,Neutral,Putt alt 236 Lauterbach Das hier finde ich nicht unplausibel Wenn ich mir den Graph von Deaths of
52,Neutral,sekusele kancane ALCOHOL WILL BE SOLD
53,Neutral,Sekusele kancane cyrilramaphosa Alcohol will be sold
54,Neutral,sekusele kancane ALCOHOL WILL BE SOLD
55,Neutral,Alcohol Will be sold Enkosi ramaphosa
56,Neutral,AMSTEL AMSTEL AMSTEL AMSTEL cyrilramaphosa FellowSouthAfricans ALCOHOL WILL BE SOLD
57,Neutral,Has the Stellenbosch mafia won alcohol cyrilramaphosa Level3Lockdown PutSouthAfricansFirst
58,Neutral,cn alcohol habe cravings nach wei wein yam
59,Neutral,S dafrika SouthAfrica TV Ansprache von Pr sident Ramaphosa der corona lockdown wird ab 1 6 auf Stufe 3 geloc
60,Neutral,Alcohol will be sold hauweng cyrilramaphosa
61,Neutral,Stammtischgeschwaetz is another alcohol related one
62,Neutral,Soeder Das ist die Seite der Drogenbeauftragten we
63,Neutral,Binder baur Wer schon panisch ist wegen pardon nur 350 000 MIT SARS CoV 2 Verstorbenen w rde die Nachricht SARS CoV 2
64,Positive,Okay weil ich das Thema gerade in nem anderen thread angeschnitten habe Meine Religion hat keine Fastenzeit Ramada
65,Positive,so langsam kann ich alcohol is free verstehen hasse den beitrag aber trotzdem
66,Neutral,Binder baur Wer schon panisch ist wegen pardon nur 350 000 MIT SARS CoV 2 Verstorbenen w rde die Nachricht SARS CoV 2
67,Neutral,Binder baur Wer schon panisch ist wegen pardon nur 350 000 MIT SARS CoV 2 Verstorbenen w rde die Nachricht SARS CoV 2
68,Neutral,Binder baur Wer schon panisch ist wegen pardon nur 350 000 MIT SARS CoV 2 Verstorbenen w rde die Nachricht SARS CoV 2
69,Neutral,Binder baur Wer schon panisch ist wegen pardon nur 350 000 MIT SARS CoV 2 Verstorbenen w rde die Nachricht SARS CoV 2
70,Neutral,Binder baur Wer schon panisch ist wegen pardon nur 350 000 MIT SARS CoV 2 Verstorbenen w rde die Nachricht SARS CoV 2
71,Neutral,Binder baur Wer schon panisch ist wegen pardon nur 350 000 MIT SARS CoV 2 Verstorbenen w rde die Nachricht SARS CoV 2
72,Neutral,cn alcohol unideales wetter aber c hat mir eben 1 aperol spritz gemacht
73,Neutral,Binder baur Wer schon panisch ist wegen pardon nur 350 000 MIT SARS CoV 2 Verstorbenen w rde die Nachricht SARS CoV 2
74,Neutral,Binder baur Wer schon panisch ist wegen pardon nur 350 000 MIT SARS CoV 2 Verstorbenen w rde die Nachricht SARS CoV 2
